ID,Name,Description,Category,Quantity,Location,Min Stock Level,Specifications
47d1471c-7f86-4f8c-8991-5c8156f37aa7,"C57112","FH(风华) - 0603B103K500NT | 10nF ±10% 50V 编带","Capacitors",100,"",20,"{"package":"0603","capacitance":"10nF","tolerance":"±10%","voltage":"50V"}"
d061e2a1-043a-42f2-92ec-1102e94f06f0,"C30926","FH(风华) - 0603B104K500NT | 100nF ±10% 50V 编带","Capacitors",100,"",20,"{"package":"0603","capacitance":"100nF","tolerance":"±10%","voltage":"50V"}"
c0ce12a8-b28f-4c20-9c17-907267691851,"C43922","FH(风华) - 0603B225K160NT | 2.2uF ±10% 16V 编带","Capacitors",50,"",10,"{"package":"0603","capacitance":"2.2uF","tolerance":"±10%","voltage":"16V"}"
e7880c8f-970e-4972-b035-d70c9b56e3ed,"C6119842","HRE(芯声) - CGA0603X5R106K100JT | 10uF ±10% 10V 编带","Capacitors",100,"",20,"{"package":"0603","capacitance":"10uF","tolerance":"±10%","voltage":"10V"}"
d53e9095-50b7-41a1-bc4a-43c22cce8feb,"C19077584","R+O(宏嘉诚) - SMBJ30A | DO-214AA(SMB) | 单向TVS 30V截止 峰值浪涌电流：12.4A@10/1000us 编带","Other",5,"",5,"{"package":"DO-214AA(SMB)"}"
4b884208-414d-479b-a66b-4be68ac15c39,"C6119852","HRE(芯声) - CGA0603X5R105K500JT | 1uF ±10% 50V 编带","Capacitors",100,"",20,"{"package":"0603","capacitance":"1uF","tolerance":"±10%","voltage":"50V"}"
f925379b-d7d1-45c2-b817-e19373d45ce3,"C64181","FH(风华) - CBW160808U101T | 0603 | 单路 0603磁珠 阻抗100Ω@100MHz 编带","Other",100,"",20,"{"package":"0603"}"
6cbc2cac-e03e-4e66-b510-66bce20c9399,"C46550404","JIERR(捷而瑞) - JVJ25V220M6x8 | SMD,D6.3xL7.7mm | 220uF ±20% 25V 编带","Capacitors",10,"",5,"{"package":"SMD,D6.3xL7.7mm","capacitance":"220uF","tolerance":"±20%","voltage":"25V"}"
83c0094a-f307-4598-8c4c-33bfa8d04774,"C347222","UMW(友台半导体) - AMS1117-3.3 | SOT-223 | 输出:3.3V 电流:1A 耐压:12V 编带","Other",10,"",5,"{"package":"SOT-223"}"
7a43da78-7e8b-4a13-94db-c1bf7910202d,"C277895","Siproin(上海矽朋) - SSP485 | SOP-8 | 5V供电 500Kbps 收发器 编带","Other",15,"",5,"{"package":"SOP-8"}"
d912b6ad-1fe2-4f99-963e-e7be710b82a1,"C692526","XKB Connection(中国星坤) - U264-141N-4BAC10 | 插件 | Type-C 母 托盘","Other",5,"",5,"{"package":"插件"}"
b33ff098-c659-4055-9f8e-5c72d4afb031,"C22787","UNI-ROYAL(厚声) - 0603WAF1200T5E | 120Ω ±1% 100mW 厚膜电阻 编带","Resistors",100,"",20,"{"package":"0603","resistance":"120Ω","tolerance":"±1%","power":"0603W"}"
dda3d562-d9ef-433f-af94-c363bd05f32d,"C21190","UNI-ROYAL(厚声) - 0603WAF1001T5E | 1kΩ ±1% 100mW 厚膜电阻 编带","Resistors",100,"",20,"{"package":"0603","resistance":"1kΩ","tolerance":"±1%","power":"0603W"}"
44eb096b-dd84-42f6-9d01-d43122c548bf,"C22859","UNI-ROYAL(厚声) - 0603WAF100JT5E | 10Ω ±1% 100mW 厚膜电阻 编带","Resistors",20,"",5,"{"package":"0603","resistance":"10Ω","tolerance":"±1%","power":"0603W"}"
2d7a83fd-7fde-4589-887b-3e16cd1eb089,"C21189","UNI-ROYAL(厚声) - 0603WAF0000T5E | 0Ω ±1% 100mW 厚膜电阻 编带","Resistors",100,"",20,"{"package":"0603","resistance":"0Ω","tolerance":"±1%","power":"0603W"}"
531b9f41-be7f-47f9-a01f-07a4d5ae1e38,"C25804","UNI-ROYAL(厚声) - 0603WAF1002T5E | 厚膜电阻 10kΩ ±1% 100mW 编带","Resistors",200,"",40,"{"package":"0603","resistance":"10kΩ","tolerance":"±1%","power":"0603W"}"
56c00de8-8e8c-42cf-b835-c5df95fddda9,"C4211","UNI-ROYAL(厚声) - 0603WAF3001T5E | 3kΩ ±1% 100mW 厚膜电阻 编带","Resistors",100,"",20,"{"package":"0603","resistance":"3kΩ","tolerance":"±1%","power":"0603W"}"
5c4b995a-c955-4876-a3f9-c92ce47f9398,"C431092","AMASS(艾迈斯) - XT30PW-M30.G.Y | AMASS(艾迈斯)航模插头 卧式弯脚 XT30PW-M公头 袋装","Other",10,"",5,"{"package":"-"}"
44df7d73-d763-4871-888a-ef759341c23f,"C2480","MDD(辰达半导体) - SS14 | SMA(DO-214AC) | 电压:40V 电流:1A 编带","Other",50,"",10,"{"package":"SMA(DO-214AC)"}"
